layer,mean_relative_l2,ci_low,ci_high,mean_cosine_distance,sd_relative_l2,n_scenarios,rank
0,0.0015951625523757062,0.0009059411185772606,0.002600675394507527,6.296534097856762e-07,0.002336961122600302,30,48
1,0.00293351279620605,0.002072885957761194,0.004003575733359542,1.6259656430335963e-06,0.0027579070068088174,30,47
2,0.0033871584945024485,0.002639793928704462,0.004189855425204289,3.3178176752339065e-06,0.002275000212955529,30,46
3,0.004615636429650564,0.0038754950401053284,0.0054609217620150965,5.605517913664926e-06,0.0022244161843923897,30,38
4,0.0036499668010679972,0.0029267481362621295,0.004502954334551856,3.3629275544992216e-06,0.002270214324772329,30,44
5,0.0064119697890375775,0.005820636770846139,0.007011757573852637,1.3953916677404236e-05,0.0017421639461650028,30,32
6,0.007452749308237791,0.006762834539115761,0.008208614164540171,1.8911655068276633e-05,0.0020660062369554006,30,29
7,0.005116332440699626,0.0045718863515041685,0.005722044136183738,7.279849683272666e-06,0.0016546631556931537,30,35
8,0.007169819242773463,0.0062986544293502575,0.008014893718314993,2.66247813269412e-06,0.002467664020248641,30,30
9,0.005644645092340864,0.005039412554162492,0.00634252673014883,2.696698107237013e-06,0.0018707878604704332,30,33
10,0.004161514645497023,0.003447596371877896,0.004846347792584153,2.661966191267832e-06,0.0020305893964217368,30,39
11,0.003734560865414474,0.0030907551361189956,0.004391633798737534,2.5890400809321553e-06,0.00182354260455214,30,43
12,0.0034785486332413974,0.0029204315207871532,0.00412557673338935,3.2847489549607073e-06,0.00171840524680826,30,45
13,0.003927229738419645,0.0032441171737639177,0.004624584592837566,2.6367788681221543e-06,0.001976843086609738,30,41
14,0.0037475735372239426,0.0032321077166547222,0.00430739802972776,2.305314792120742e-06,0.0015730235633923226,30,42
15,0.004068747519644007,0.0033040149157795777,0.004859993066620533,3.440799336103713e-06,0.0022161721288259024,30,40
16,0.005440142810364718,0.00447881505246358,0.006487906033720413,4.487320375982466e-06,0.0028695017656316375,30,34
17,0.004938013501323066,0.004261900895634417,0.005645378433953318,4.266007236871279e-06,0.0019934663347191714,30,36
18,0.004757046479239858,0.0038564849083430625,0.005746013018280753,3.991988483716587e-06,0.002551400595177611,30,37
19,0.006728199900308748,0.005456182623639375,0.008395938269331481,4.8761052468944875e-06,0.004165141411514242,30,31
20,0.011779269708868195,0.009763551547608107,0.014024844769375131,7.367292742480972e-06,0.006148233358935797,30,27
21,0.009053165659056372,0.007407969432991389,0.010814180577335698,1.4506246764423026e-05,0.004940549803046446,30,28
22,0.018815419065187224,0.015993559634731536,0.02168670522440622,4.906092274219454e-05,0.007926214558006498,30,26
23,0.02316877538819502,0.019708535597006294,0.02677099970676368,0.00010024809666463094,0.009903908951969666,30,25
24,0.024791722103944827,0.021749122323407408,0.02802247829596377,0.00011706150445576954,0.008998252787808468,30,24
25,0.0370260956958215,0.034227929244004855,0.039873386976963514,0.0004032899408440945,0.007942492092319202,30,23
26,0.06643630336880046,0.061804348645926835,0.07082185863018864,0.0012096680630848567,0.012815814604414359,30,22
27,0.07820957938325067,0.07262713781800222,0.08377919984373931,0.0019941090918619508,0.01605971364327825,30,21
28,0.07875432619162262,0.07298937983655117,0.08395826417082837,0.0024634288190100383,0.01573600091961018,30,20
29,0.0983365479178318,0.0903559215939208,0.10580509444365459,0.004069802543448172,0.02177771635253651,30,19
30,0.10081226925173871,0.09254662806329102,0.10813087778247849,0.0043230104264396696,0.02162675839701557,30,18
31,0.10848467755086877,0.0996752921324092,0.11604894805907835,0.005409506846364136,0.023009684756897922,30,17
32,0.12357127499197382,0.11349388427192722,0.13223496883880076,0.006874589558883178,0.02721913591399036,30,14
33,0.11986964587915422,0.1099495567976868,0.12865766165904832,0.006760457383442801,0.02687747697224555,30,16
34,0.12341494982496862,0.11220567930648874,0.13458616455391764,0.00774841721325108,0.03203078058763588,30,15
35,0.1331678439600844,0.11991918604445413,0.1454476650508716,0.009193432392214991,0.03589348855646199,30,11
36,0.14240436323459874,0.12849044864185782,0.15535332010712755,0.01055626831649593,0.03854130423442822,30,6
37,0.14339923108422162,0.12952757132276896,0.15603673447787816,0.010674481906566198,0.03745004790207163,30,5
38,0.13707402170238045,0.12389667733801132,0.1491043435764076,0.009848622893489412,0.03600006587588331,30,8
39,0.1346855053714824,0.12189763941434456,0.1462040172699661,0.009361746059803389,0.03485810597019433,30,10
40,0.13126833026590098,0.11784685261780291,0.1429602045198286,0.008756637857353726,0.03624757234687708,30,13
41,0.13205395373969847,0.1177295368110476,0.14497476801060774,0.008993457190234004,0.03889578071533966,30,12
42,0.14122891000135376,0.12626441887271914,0.15488039841832782,0.01047076517582816,0.04163298470543337,30,7
43,0.1439938263162575,0.12882974936436897,0.15945024433677532,0.010871697587156236,0.04414277580891123,30,4
44,0.1478436806103352,0.1311172814894209,0.16294533849368256,0.011108401368097128,0.04403397621250957,30,3
45,0.16087734005459814,0.14465075158005705,0.17594755311423077,0.012548436289644171,0.045007794203598385,30,2
46,0.13616427245872126,0.12367552086349508,0.14710645519848886,0.009127619944911543,0.03427389495039159,30,9
47,0.31373552594005455,0.26710538258948424,0.36629340367468,0.025851342462417756,0.13865408325066333,30,1
