layer,mean_relative_l2,ci_low,ci_high,mean_cosine_distance,sd_relative_l2,n_scenarios,rank
0,0.00850446470101602,0.008004529194416098,0.009066396926761536,3.6442583479849114e-05,0.001482290366510661,30,40
1,0.024926725935661663,0.021756279261918022,0.029005038662159196,0.00035495088519026753,0.010010776142837978,30,36
2,0.02168156117000585,0.019055128381400582,0.024400567147085318,0.0002572210813659289,0.0075721433195369454,30,39
3,0.024913397676666556,0.02242297640158996,0.027822684518827693,0.0003368221099340133,0.007863738841910347,30,37
4,0.024315364913883274,0.022380342269943187,0.026579292986400504,0.0003125232678064934,0.006271944564987499,30,38
5,0.032072796053244285,0.02817148131661065,0.036570163268944966,0.0005788703846907773,0.01217298922233987,30,34
6,0.029755956430518947,0.02642250422356915,0.03367744638378003,0.0004836508423849195,0.010288757876049845,30,35
7,0.03868902038323498,0.03537702273445768,0.042686117993319936,0.000792112584990375,0.01008513679821306,30,33
8,0.044250711207946415,0.03858419590509997,0.05069307441688224,0.001122872163866717,0.017599339161114995,30,31
9,0.04580930931923888,0.04079346534511525,0.05111868982892378,0.0011539448804753106,0.014900452027860691,30,30
10,0.04175878078572646,0.037570856658412595,0.04635821218657102,0.0009403834875568655,0.012439883518574384,30,32
11,0.04604758093094268,0.041921542555655146,0.05065538822719155,0.0011164888624828524,0.012055307316260826,30,29
12,0.06238775019301289,0.05426547064308278,0.07131699160446404,0.0022052854877280775,0.023713182526672674,30,27
13,0.06584975104344913,0.05938617574413357,0.07294526987691395,0.0023310056544878833,0.0191067777970277,30,26
14,0.06186918649413623,0.057114126898377755,0.06671393517122019,0.001975975821686467,0.014029733357163563,30,28
15,0.07464806546866412,0.07025586585649649,0.07915880704484353,0.0028463001364340177,0.012582093410032979,30,25
16,0.08177797289644012,0.07601722316657361,0.08743771444400492,0.003448121920197289,0.01617770434119889,30,24
17,0.09882886449663372,0.09343714062086536,0.10448540013239177,0.004997692397123602,0.015736464183180393,30,23
18,0.10574206544251402,0.10098263909619534,0.11102542954149461,0.005664490749761889,0.014099667158133027,30,22
19,0.13948587645417784,0.13373401459806128,0.14547990654362497,0.009842183052485043,0.016499967766594976,30,20
20,0.14934675290277935,0.1425734962189372,0.15661510494486852,0.011365562100051126,0.02020958984685975,30,18
21,0.14883443287993237,0.14115841412166738,0.15638297254342226,0.01130783740849548,0.021579001971177892,30,19
22,0.13693398822037828,0.1297698487360218,0.144261506935994,0.009563641591922252,0.02126147903659211,30,21
23,0.16627384319881788,0.1566996392827794,0.17573064938438862,0.014180644311501903,0.02719528663037869,30,15
24,0.17586535868133402,0.1648618292626862,0.1874605612773036,0.015932054078719084,0.03212985968383874,30,13
25,0.20077257058650738,0.18618797881467075,0.21529762252075332,0.02100988813029934,0.04014418416902297,30,7
26,0.19311603176045275,0.1801652250423354,0.20559682698254134,0.019059607380503225,0.036948675659571426,30,9
27,0.22590151809155515,0.2098518506012466,0.242666158355589,0.026641586788867706,0.04532059674563114,30,1
28,0.20882708680652684,0.19540844277823657,0.22238859465995395,0.022516415547411857,0.038358253211468046,30,5
29,0.22450408852424364,0.21114272282708355,0.23849149439320574,0.02577334029205747,0.03786818218539047,30,2
30,0.2186297714075459,0.20462362002800333,0.23262226363757318,0.024422051621507773,0.039112137817277084,30,3
31,0.21019275086379488,0.19766015336709397,0.22238394584943316,0.022251050104292184,0.03475836601815956,30,4
32,0.20341786750364232,0.19167300633231807,0.21523846852143996,0.021154318983987494,0.03270650354660775,30,6
33,0.19804681241427893,0.18705018122076214,0.20948037111762458,0.019809375633505055,0.03142810122993713,30,8
34,0.17011758563893886,0.1592843066617448,0.180928987263991,0.014864362084294905,0.030908629314000464,30,14
35,0.18450396037204828,0.1726543446162145,0.19582976199599075,0.017485037813934515,0.03380421125059445,30,11
36,0.17744359165237888,0.16673261040982934,0.18876333049954463,0.01610879772061433,0.03171649562459612,30,12
37,0.16314607970519973,0.15359804023012216,0.17262972760555476,0.013604977281464615,0.02675823165491481,30,16
38,0.15382493663250316,0.14481860223231863,0.1626641284573388,0.011798965977630341,0.025529373352484307,30,17
39,0.1918939262219234,0.1794016479003576,0.20452332095324766,0.01798507977689944,0.035270063817456336,30,10
